67		21/12/18/		21/12/18/

	Nombre	Código	Cantidad
	hey	9	98
	uio	0	7
	ghghffg	45	65

Costo total:	89000


67		21/12/18/		21/12/18/

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89000


Factura		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/
Contado:	Sí
Crédito:	0días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89000


Factura		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/
Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
67		21/12/18/		21/12/18/

Contado:	Sí
Crédito:	0	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
90		21/12/18/		31/03/19/

Contado:	No
Crédito:	30	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


Factura:		Fecha recibido:		Fecha de pago:
90		21/12/18/		31/03/19/

Contado:	No
Crédito:	30	días

	Nombre	Código	Cantidad
	hey	15	98
	uio	0	7
	ghghffg	45	65

Costo total:	89.000


