CÓDIGO	NOMBRE	APODO	CANTIDAD	COSTO	PRECIO	COSTO TOTAL	PRECIO TOTAL
1	VASO-0,5 ONZ X100 DARNEL	0.5 OZX100	100	2600	2600	260000	260000
2	VASO- 1 ONZA X100 DARNEL	1OZX100	101	2600	2900	262600	292900
3	VASO-1,5 ONZ X100 DARNEL	1.5OZX100	102	3600	3600	367200	367200
4	VASO-2,5 ONZ X 100 DARNEL	2.5OZX5100	103	3900	3900	401700	401700
5	VASO-7 ONZ TAMI X 25	7TAMIX25	104	1700	1700	176800	176800
6	VASO -9 ONZ TAMI X25	9TAMIX25	105	2200	2200	231000	231000
7	VASO-1 ONZ CRISTALX25	1CRISTX25	106	1800	1800	190800	190800
8	VASO-3 ONZ CRISTALX12	3CRISTX12	107	1800	1800	192600	192600
9	VASO -7 ONZ CRISTALX12	7CRISTX12	108	3200	3200	345600	345600
10	VASO-9 ONZCRISTALX12	9CRISTX12	109	3500	3500	381500	381500
11	VASO-9 ONZ CRISTALX25	9CRISTX25	110	6500	6500	715000	715000
12	VASO-12 ONZ CRISTALX12	12CRISTX12	111	4500	4500	499500	499500
13	VASO-7ONZ COLORX12	7COLORX12	112	2300	2300	257600	257600
14	VASO -4 ONZ ICOPORX20	4ICOPORX20	113	1300	1300	146900	146900
15	VASO -6 ONZ ICOPORX20	6ICOPORX20	114	1500	1500	171000	171000
16	VASO-8 ONZ  ICOPORX20	8ICOPORX20	115	1900	1900	218500	218500
17	VASO-8 ONZAS ICO CON TAPX20	8ICOCON TX20	116	3100	3100	359600	359600
18	VASO-0,5 ONZ SAMBAX50 ACME	0.5SAMBAX50	117	1600	1600	187200	187200
19	VASO-1 ONZ SAMBAX50 ACME	1 SAMBAX50	118	1200	1200	141600	141600
20	VASO-2 ONZ SAMBAX50 ACME	2 SAMBAX50	119	1600	1600	190400	190400
21	VASO-3,5 ONZ IRIS X50 ACME	3.5 IRISX50	120	1600	1600	192000	192000
22	VASO-5,5 ONZ BICOLORX50	5.5 BICX50	121	1800	1800	217800	217800
23	VASO-7 ONZ SAMBAX50 TRANS	7 SAMBAX50	122	1500	1500	183000	183000
24	VASO-9 ONZ SAMBAX50 TRANS	9 SAMBAX50	123	2800	2800	344400	344400
25	VASO-10 ONZ SAMBAX50 TRANS	10 SAMBAX50	124	3000	3000	372000	372000
26	VASO-12 ONZ SAMBAX50	12 SAMBAX50	125	3400	3400	425000	425000
27	VASO-CAFÉTERO IRIS X50	CAFE IRISX50	126	1700	1700	214200	214200
28	VASO-CAFÉTERO BLANCOX50	CAFE BLCOX50	127	2200	2200	279400	279400
29	VASO-7 ONZ IRISX50 SAMBA	7IRISX50	128	1600	1600	204800	204800
30	VASO -4 ONZ SAMBAX25	4 SAMBAX25	129	1200	1300	154800	167700
31	VASO-14 ONZ SAMBAX25	14 SAMBAX25	130	2500	2500	325000	325000
32	VASO-16 ONZ SAMBAX25	16 SAMBAX25	131	2800	2800	366800	366800
33	VASO-3,5 ONZ WAUX50	3.5WAUX50	132	1700	1700	224400	224400
34	VASO -5 ONZ WAUX50	5 WAU X50	133	1800	1800	239400	239400
35	VASO -7 ONZ WAUX50	7 WAU X50	134	1700	1700	227800	227800
36	VASO-9 ONZ WAUX50	9 WAU X50	135	2800	2800	378000	378000
37	VASO-10 ONZ WAUX50	10WAU X50	136	3000	3000	408000	408000
38	VASO-12 ONZ WAUX50	12 WAU X50	137	3400	3400	465800	465800
39	VASO-13 ONZ WAUX25	13 WAU X25	138	2500	2500	345000	345000
40	VASO-14 ONZ WAUX25	14 WAU X25	139	2600	2600	361400	361400
41	VASO-16 ONZ WAUX25	16 WAU X25	140	2900	2900	406000	406000
42	VASO-4 ONZ ICOPORX25	4 ICO X25	141	1400	1400	197400	197400
43	VASO-6 ONZ ICOPORX25	6 ICO X25	142	1600	1600	227200	227200
44	VASO-8 ONZ ICOPORX20	8 ICO X20	143	1800	1800	257400	257400
45	VASO-4 ONZ CARTON BLCOX50	4 CARTB X50	144	3900	3900	561600	561600
